country_code,event_name,event_url,date,talk_title,talk_url,slides_url,video_url,github_url,photo_url,topics,co_speaker
DE,WeAreDevelopers,https://www.wearedevelopers.com/world-congress,2025-07-11,Standardised Observability with OpenTelemetry - Lab,https://www.wearedevelopers.com/world-congress/workshops#sz-tab-45849,https://speakerdeck.com/maeddes/standardized-observability-with-opentelemetry,,https://github.com/NovatecConsulting/opentelemetry-training,,opentelemetry;java;python;jaeger;grafana;docker,
DE,WeAreDevelopers,https://www.wearedevelopers.com/world-congress/program,2025-07-11,What's (new) with Spring Boot and Containers?,https://www.wearedevelopers.com/world-congress/program,https://speakerdeck.com/maeddes/whats-new-with-spring-boot-and-containers,,https://github.com/maeddes/spring-boot-and-container,,opentelemetry;java;python;jaeger;prometheus;docker,Eva Maria Panadero Peris
DE,Java Forum Stuttgart,https://www.java-forum-stuttgart.de/vortraege/2025/,2025-07-12,What's (new) with Spring Boot and Containers?,https://www.java-forum-stuttgart.de/vortraege/whats-new-with-spring-boot-and-containers/,https://speakerdeck.com/maeddes/whats-new-with-spring-boot-and-containers,,https://github.com/maeddes/spring-boot-and-container,,springboot;buildpacks;graalvm;docker;testcontainer,
DE,CloudLand,https://www.cloudland.org/de/home/,2025-07-02,Standardisierte Observability mit OpenTelemetry,https://meine.doag.org/events/cloudland/2025/agenda/#agendaId.5850,https://speakerdeck.com/maeddes/standardized-observability-with-opentelemetry,,https://github.com/NovatecConsulting/opentelemetry-training,,opentelemetry;java;python;jaeger;grafana,Jens Plüddemann
DE,Mastering Observabiltiy,https://www.mastering-obs.de/,2025-06-05,Standardisierte Observability mit OpenTelemetry,https://www.mastering-obs.de/veranstaltung-83529-se-0-standardisierte-observability-mit-opentelemetry.html,https://speakerdeck.com/maeddes/standardized-observability-with-opentelemetry,,https://github.com/NovatecConsulting/opentelemetry-training,,opentelemetry;java;python;jaeger;prometheus,Jens Plüddemann
ESP,Spring IO,https://2025.springio.net/,2025-05-22,What's new with Spring Boot and Containers,https://2025.springio.net/sessions/whats-new-with-spring-boot-and-containers/,https://speakerdeck.com/maeddes/whats-new-with-spring-boot-and-containers,https://www.youtube.com/watch?v=nesRmaUi4Ts,https://github.com/maeddes/spring-boot-and-container,https://flickr.com/photos/198207824@N04/54557819528/in/faves-200808366@N03/,springboot;buildpacks;graalvm;docker;testcontainer,Eva Maria Panadero Peris
NL,Voxxed Days Amsterdam,https://amsterdam.voxxeddays.com/,2025-04-03,"Dockerfiles, Buildpacks, Jib and more ... what's the best way to run your Java code in Containers?",https://amsterdam.voxxeddays.com/talk/?id=7159,https://speakerdeck.com/maeddes/options-galore-from-source-code-to-container-image,,,,java;docker;buildpacks;paketo;jib,
CH,Voxxed Days Zurich,https://zurich.voxxeddays.com/,2025-03-25,"Dockerfiles, Buildpacks, Jib and more ... what's the best way to run your Java code in Containers?",https://zurich.voxxeddays.com/talk/?id=4912,https://speakerdeck.com/maeddes/options-galore-from-source-code-to-container-image,,,,java;docker;buildpacks;paketo;jib,
DE,OOP Konferenz,https://www.oop-konferenz.de/de,2025-02-06,"Codespaces, Gitpod, Devpod ... was cloud- und container-basierte IDEs können",https://www.oop-konferenz.de/de/programm/konferenzprogramm/details/codespaces-gitpod-devpod-was-cloud-und-container-basierte-ides-koennen,https://speakerdeck.com/maeddes/cloud-and-container-based-integrated-development-environments,,,,codespaces;gitpod;devpod;devcontainer;java,
CH,Voxxed Days CERN,https://cern.voxxeddays.com/,2025-01-15,"Dockerfiles, Buildpacks, Jib and more ... what's the best way to run your Java code in Containers?",https://cern.voxxeddays.com/talk/dockerfiles-buildpacks-jib-and-more-what-s-the-best-way-to-run-your-java-code-in-containers-/,,,,,java;docker;buildpacks;paketo;jib,
DE,IT Tage,https://www.ittage.informatik-aktuell.de/index.html,2024-12-10,Standardisierte Observability mit OpenTelemetry,https://www.ittage.informatik-aktuell.de/programm/2024/standardisierte-observability-mit-opentelemetry.html,https://speakerdeck.com/maeddes/standardized-observability-with-opentelemetry,,https://github.com/NovatecConsulting/opentelemetry-training,,opentelemetry;java;python;jaeger;opensearch,Jens Plüddemann
SWE,Øredev,https://archive.oredev.org/2024/#/,2024-11-07,"Distributed applications and Kubernetes: Better off with frameworks, service meshes or both",https://archive.oredev.org/2024/#/program,https://speakerdeck.com/maeddes/distributed-systems-patterns-spring-cloud-service-mesh-and-ebpf,,,,springboot;kubernetes;istio;ebpf;cilium,
SWE,Øredev,https://archive.oredev.org/2024/#/,2024-11-07,A hitchhikers guide to observe (Java) applications in Kubernetes,https://archive.oredev.org/2024/#/program,https://speakerdeck.com/maeddes/whats-going-on-in-my-cluster,,,,kubernetes;java;opentelemetry;jaeger,
BE,Devoxx Belgium,https://devoxx.be/,2024-10-07,OpenTelemetry Hands-On,,,,,,opentelemetry;java;python;jaeger;prometheus,Jens Plüddemann
MOR,Devoxx Morocco,https://devoxx.ma/,2024-10-02,"Distributed applications and Kubernetes: Better off with frameworks, service meshes or both",,,,,,kubernetes;springcloud;istio;cilium,Tiffany Jernigan
DE,Novatec Summit,,2024-09-27,Java Frameworks & AI,,,,,,,Corvin Schapöhler
DE ,Google Developer Group Stuttgart,https://www.meetup.com/gdg-stuttgart/?eventOrigin=event_home_page,2024-09-19,Practical introduction to OpenTelemetry with Java and Python examples,https://www.meetup.com/gdg-stuttgart/events/302997291/,,,,,opentelemetry;java;python;jaeger;prometheus,
DE,Java Forum Stuttgart,https://www.java-forum-stuttgart.de/vortraege/2025/,,Java Entwicklung mit cloud-basierten IDEs – wie gut geht das?,https://www.java-forum-stuttgart.de/vortraege/entwicklung-mit-cloud-basierten-ides-wie-gut-geht-das/,,,,,codespaces;gitpod;devpod;devcontainer;java,
DE,DWX Developer,https://www.developer-world.de/dwx,2024-07-03,A hitchhiker's guide to CNCF/OSS observability solutions around Kubernetes,,,,,,kubernetes;k9s;istio;cilium;opentelemetry,
DE,KCD Munich,https://www.kcdmunich.com/,2024-07-02,A hitchhiker's guide to CNCF/OSS observability solutions around Kubernetes,,,,,,kubernetes;k9s;istio;cilium;opentelemetry,
PL,Devoxx Poland,https://devoxx.pl/,2024-06-21,"Dockerfiles, Buildpacks, Jib and more ... what's the best way to run your Java code in Containers?",,,,,,codespaces;gitpod;devpod;devcontainer;java,
PL,Devoxx Poland,https://devoxx.pl/,2024-06-20,OpenTelemetry Hands-On,https://www.devoxx.co.uk/talk/?id=16201,,,,,opentelemetry;java;python;jaeger;prometheus,
DE,CloudLand,https://www.cloudland.org/de/home/,2024-06-19,"Codespaces, Gitpod, Devpod ... was cloud-basierte IDEs schon können",https://meine.doag.org/events/cloudland/2024/agenda/#agendaId.4311,,,,,codespaces;gitpod;devpod;devcontainer;java,
DE,Mastering Observabiltiy,https://www.mastering-obs.de/2024/,2024-06-11,Standardisierte Observability mit OpenTelemetry,https://www.mastering-obs.de/2024/veranstaltung-22014-se-0-standardisierte-observability-mit-opentelemetry.html,,,,,codespaces;gitpod;devpod;devcontainer;java,
DE,JCON,https://jcon.one/,2024-05-16,"Codespaces, Gitpod, Devpod ... What cloud & container-based IDEs can do for you",https://2024.europe.jcon.one/,,https://www.youtube.com/watch?v=KSC-Us2si70,,,codespaces;gitpod;devpod;devcontainer;java,
GB,Devoxx UK,https://www.devoxx.co.uk/,2024-05-10,OpenTelemetry Hands-On,,https://speakerdeck.com/maeddes/opentelemetry,,https://github.com/NovatecConsulting/opentelemetry-training,https://flickr.com/photos/bejug/53754441776/in/faves-200808366@N03/,opentelemetry;java;python;docker,Jan-Niklas Tille
GB,Devoxx UK,https://www.devoxx.co.uk/,2024-05-09,"Codespaces, Gitpod, Devpod ... what cloud and container-based IDEs can do for you",,https://speakerdeck.com/maeddes/cloud-and-container-based-integrated-development-environments,https://www.youtube.com/watch?v=cHANzfTPNLo,,https://flickr.com/photos/bejug/53754441776/in/faves-200808366@N03/,codespaces;gitpod;devpod;devcontainer,
GB,Devoxx UK,https://www.devoxx.co.uk/,2024-05-09,11 tricks to improve your productivity and reduce your frustration with Kubernetes?,,https://speakerdeck.com/maeddes/cloud-and-container-based-integrated-development-environments,https://www.youtube.com/watch?v=6OIdnDtxq8k,,https://flickr.com/photos/bejug/53754441776/in/faves-200808366@N03/,codespaces;gitpod;devpod;devcontainer,
GR,Devoxx Greece,https://devoxx.gr/,2024-04-19,A hitchhikers guide to observe (Java) applications in Kubernetes,,,,,,kubernetes;java;istio;cilium;opentelemetry,
GR,Devoxx Greece,https://devoxx.gr/,2024-04-18,"Codespaces, Gitpod, Devpod ... what cloud and container-based IDEs can do for you",,,https://www.youtube.com/watch?v=UBU-jx3ve5k,,,codespaces;gitpod;devpod;devcontainer,
FR,Devoxx France,https://www.devoxx.fr/,2024-04-17,A hitchhikers guide to observe (Java) applications in Kubernetes,,,https://www.youtube.com/watch?v=IeiBBm8n4Bs,,,kubernetes;java;istio;cilium;opentelemetry,
FR,Devoxx France,https://www.devoxx.fr/,2024-04-17,OpenTelemetry Hands-On,,,,,,opentelemetry;java;python;jaeger;prometheus,
DE,JavaLand,https://www.javaland.eu/de/javaland-2024/,2024-04-09,Java Development with cloud-based IDEs - how good are they yet?,https://meine.doag.org/events/javaland/2024/agenda/#agendaId.3887,,,,,codespaces;gitpod;devpod;devcontainer,
FR,KubeCon Rejekts,https://cfp.cloud-native.rejekts.io/cloud-native-rejekts-eu-paris-2024/schedule/,2024-03-18,A hitchhiker's guide to CNCF/OSS observability solutions around Kubernetes,https://cfp.cloud-native.rejekts.io/cloud-native-rejekts-eu-paris-2024/schedule/,,,,,kubernetes;java;istio;cilium;opentelemetry,
CH,Voxxed Days Zurich,https://zurich.voxxeddays.com/,2024-03-07,From k9s to OpenTelemetry: A guide to observability for your apps in K8s,,,https://www.youtube.com/watch?v=piM7PEswmso,,,kubernetes;java;istio;cilium;opentelemetry,
CH,JUG Switzerland,https://www.jug.ch/,2024-01-23,Observability von Java Apps im Umfeld von Kubernetes,https://www.jug.ch/html/events/2024/java_apps_kubernetes.html,,,,,,
CH,Voxxed Days CERN,https://cern.voxxeddays.com/,2024-01-22,From k9s to OpenTelemetry: A guide to observability for your apps in K8s,,,,,,,
CH,Voxxed Days Ticino,https://ticino.voxxeddays.com/,2024-01-19,"Codespaces, Gitpod, Devpod ... what cloud and container-based IDEs can do for you",,,,,,,
CH,JUG Switzerland,https://www.jug.ch/,2024-01-18,Java Entwicklung mit cloud-basierten IDEs – wie gut geht das?,https://www.jug.ch/html/events/2023/cloud-basierte_ides.html,,,,,,
DE,Seacon,https://www.sea-con.de/de,2023-12-04,A Hitchhiker's Guide to CNCF/OSS Observability Solutions Around Kubernetes,https://www.sea-con.de/seacon2023/programm/speaker/sprecherdetails/matthias-haeussler,,,,,,
DE,IT Tage,https://www.ittage.de,2023-12-11,Cloud and Container-based Integrated Development Environments – how good are they already?,,,,,,,
CH,BaselOne,https://baselone.org/,2023,From k9s to OpenTelemetry: A guide to observability for your (Java) apps in K8s,https://baselone.org/programm23/,,,,,,
BE,Devoxx Belgium,https://www.devoxx.be,2023,N/A,,,,,,,
BE,Devoxx Belgium,https://www.devoxx.be,2023-10-05,Observability Workshop (3h),,,,,,,
CH,KubeCon China,N/A,2023-09-26,A Hitchhiker's Guide to CNCF/OSS Observability Solutions Around Kubernetes,,,,,,,
DE,Java Forum Nord,N/A,2023-09-19,Cloud and Container-based Integrated Development Environments,,,,,,,
DE,Container Days,https://containerdays.io,2023-09-12,Kubernetes Production Readiness,,,,,,,
DE,JCON,https://www.jcon-con.de/,2023-10-11,A Guide to Observability for Your (Java) Apps in Kubernetes,,,,,,,
DE,Java Forum Stuttgart,https://java-forum-stuttgart.de/,2023-07-06,Hands-On Container Lab,,,,,,,
DE,Java Forum Stuttgart,https://java-forum-stuttgart.de/,2023-07-06,Observability for Java in Kubernetes,,,,,,,
DE,WeAreDevelopers,https://www.wearedevelopers.com,2023-07-27,Distributed Applications and the Golden Path to Production,,,,,,,
ESP,Spring IO,https://springio.net,2023-05-19,From k9s to OpenTelemetry: A guide to observability for your Spring Boot apps in K8s,,,,,,,
ESP,Spring IO,https://springio.net,2023-05-19,Hands-On Container Lab,,,,,,,
GR,Devoxx Greece,https://devoxx.gr,2023-05-04,Distributed Applications and the Golden Path to Production,,,,,,,
UK,Devoxx UK,https://www.devoxx.co.uk,2023-05-09,Distributed Applications and the Golden Path to Production,,,,,,,
UK,Devoxx UK,https://www.devoxx.co.uk,2023-05-10,A Hitchhiker's Guide to CNCF/OSS Observability Solutions Around Kubernetes,,,,,,,
NL,KubeCon Europe,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,2023-04-20,Kubernetes Production Readiness,,,,,,,
USA,The Golden Path to SpringOne,https://springone.io,2023-01-24,"What is Possible with eBPF Compared to Spring Cloud, Kubernetes, and Service Meshes",,,https://www.youtube.com/watch?v=r0jpL76EZ_A&list=PL09jzegbfUhHSXw5JyaJSSBC_DYFRTidz,,,,
DE,JavaLand,https://www.javaland.eu,2023-03-21,A Guide to Observability for Your (Java) Apps in Kubernetes,,,,,,,
DE,OOP Konferenz,,2022,Dist Patterns,,,,,,,
DE,Novatec Summit,,,Distributed Patterns,,,,,,,
CH,Basel One,,,Distributed Patterns,,,,,,,
BEL,Devoxx Belgium,,,Distributed Patterns,,,,,,,
DE (remote),JCON Online,,,Distributed Patterns,,,,,,,
IRL,Open Source Summit Europe Dublin,,,Container Image Builds,,,,,,,
DE,Container Days,,,Distributed Patterns,,,,,,,
DE,Container Days,,,What's going on in my cluster?,,,,,,,
DE,Java Forum Stuttgart,,,Distributed Patterns,,,,,,,
DE,IT-Tage Cloud Tage,,,Distributed Patterns,,,,,,,
LUX,Voxxed Days Luxembourg,,,Container Image Builds,,,,,,,
DE,DevOpsCon Berlin,,,How free is K8s really?,,,,,,,
ESP,Spring IO,,,Container Lab w/ Mirna,,,,,,,
ESP,Spring IO,,,Distributed Patterns,,,,,,,
DE,JavaLand,,,Container Image Builds,,,,,,,
DE (remote),Cloud Native Saar,,2021,What's going on in my cluster?,,,,,,,
DE (remote),Herbstcampus,,,,,,,,,,
IT (remote),Codemotion Online,,,,,,,,,,
DE (remote),Novatec Summit,,,,,,,,,,
DE (remote),IT Tage,,,,,,,,,,
DE (remote),embarc Architektur Punsch,,,,,,,,,,
CH (remote),JUG Switzerland,,2021-11-18,,,,https://www.youtube.com/watch?app=desktop&v=eRmK38GRqoA&t=0s,,,,
US (remote),KubeCon NA,,,,,,,,,,
DE (remote),Java Forum Stuttgart,,,,,,,,,,
DE (remote),Software Architecture Alliance,,,,,,,,,,
DE (remote),Container Days,,,,,,,,,,
DE (remote),Wolkenflüsterer Podcast,,,,,,,,,,
US (remote),Cloud Foundry Summit,,,,,,,,,,
DE (remote),Karlsruher Entwicklertag,,,,,,,,,,
IN (remote),GIDS,,,,,,,,,,
DE (remote),OOP 21,,,,,,,,,,
JP (remote),Open Source Summit Japan,,2020,,,,,,,,
DE (remote),NovaSummit,,,,,,,,,,
DE (remote),JCON,,,mit Corvin,,,,,,,
DE (remote),Seacon,,,,,,,,,,
DE,Cloud Native Day HdM,,4Q2019,"Cloudplattformen ""entmystifiziert"": Docker, Kubernetes, Cloud Foundry & Knative",https://events.mi.hdm-stuttgart.de/2019-12-06-1-cloud-native-day,,,,,,
DE,W-JAX,,,"Cloudplattformen ""entmystifiziert"": Docker, Kubernetes, Cloud Foundry & Knative",,,,,,,
US,Spring One Platform,,,"knative, Eirini",,,,,,,
NL,Cloud Foundry Summit The Hague,,,,,,,,,,
DE,Cloud Foundry Meetup Munich,,3Q 2019,WebSphere -> Cloud Migration - Live Demo,,,,,,,
UL,Concourse Meetup London,,3Q 2019,Concourse CI in Java EE Migration Project,,,,,,,
DE,Java Forum Stuttgart,,3Q 2019,WebSphere -> Cloud Migration - Live Demo,,,,,,,
DE,Kubernetes Meetup Hamburg Container Days,,2Q 2019,WebSphere -> Cloud Migration - Live Demo,,,,,,,
DE,Pivotal User Day,,2Q 2019,Round Table,,,,,,,
DE,Cloud Foundry Meetup Stuttgart,,2Q 2019,Organizer,,,,,,,
ESP,Spring IO Barcelona,,2Q 2019,CF & K8s,,,,,,,
US,Cloud Foundry Summit Philadelphia,,1Q 2019,Cloud Foundry for everyone!,,,,,,,
US,Cloud Foundry Summit Philadelphia,,1Q 2019,WebSphere -> Cloud Migration - Live Demo,,,,,,,
DE,GI Arbeitskreis - DevOps,,1Q 2019,Keynote: CF & K8s,,,,,,,
